Hello, hello, hello, <employee name>!|IVAAL|3|
I am IVAAL! Your Interactive Virtual Artificial Assistant Lodestar!|IVAAL|6|
Here to assist you in... well... this!|IVAAL|4|
I am sure I do not <i>need</i> to explain how this job works, you seem sooo very competent!|IVAAL|5|
However, there is a memo from our High Lord Bexos himself! Let us read;|IVAAL|4|
Attention employees:| |15|
A breach in the system has been discovered within our mainframe.| |15|
The multipartite virus has been dealt with and is under control, but...| |15|
any further incidents should be reported immediately. Thank you.| |15|
A multipartite virus? Whatever that is, I am sure we have nothing to worry about!|IVAAL|5|
Oh! There are jobs in the queue already!|IVAAL|8|
We have no time for further training, we are such a busy company!|IVAAL|9|
Why not start with the trucks?|IVAAL|4|